#,Jugador,Minutos,Puntos,TL (A/I),%TL,T2,T3,Faltas,+/-
1,Gregorio Freda,18:41,12,0/2,0%,3,2,3,0
4,Raúl Mestre Lleida,00:00,0,0/0,0%,0,0,0,0
6,Pau Bas Sanjuan,22:44,5,1/3,33%,2,0,1,9
7,Carlos Aparicio Nieto,26:08,0,0/2,0%,0,0,1,10
10,Jose Fernando Rodriguez Guerra,23:07,6,0/1,0%,3,0,2,18
21,Hernán Martín D'Amelio Acuña,12:23,3,0/0,0%,0,1,1,-9
24,Nicolas Arias,20:43,13,5/10,50%,4,0,4,-4
27,Claudio Castellazzi,13:09,3,0/0,0%,0,1,1,7
31,Oleksandr Sukhovyi,12:17,3,0/0,0%,0,1,0,-11
44,Dmytro Khomenko,25:09,23,6/10,60%,7,1,0,17
46,Sergei Kostromin,10:09,2,0/0,0%,1,0,0,-9
66,Juan Ignacio Vieytes,15:30,0,0/0,0%,0,0,0,-13
