#,Jugador,Minutos,Puntos,TL (A/I),%TL,T2,T3,Faltas,+/-
5,Francisco Jesús Puertollano García,10:27,0,0/0,0%,0,0,2,6
6,Pau Bas Sanjuan,22:17,5,3/6,50%,1,0,0,1
7,Carlos Aparicio Nieto,25:20,24,6/11,55%,6,2,3,-3
10,Jose Fernando Rodriguez Guerra,17:23,6,0/0,0%,3,0,2,-13
15,Jose Vicente González Cabrera,22:12,5,3/7,43%,1,0,2,-5
19,Pablo Garcia Pedro,11:44,0,0/0,0%,0,0,1,-8
21,Hernán Martín D'Amelio Acuña,13:15,5,0/0,0%,1,1,5,-17
24,Nicolas Arias,14:40,6,3/10,30%,0,1,3,-6
27,Claudio Castellazzi,17:07,6,1/4,25%,1,1,1,2
31,Oleksandr Sukhovyi,13:45,0,0/0,0%,0,0,4,-1
46,Sergei Kostromin,17:11,5,0/0,0%,1,1,1,0
66,Juan Ignacio Vieytes,14:39,2,0/2,0%,1,0,3,-1
