PARTIDO,BSV vs DRINKERS,RESULTADO,54-62,FECHA,08/02/26-11:00h
Numero,Jugador,Minutos,Puntos,T2_Convertidos,T3_Convertidos,TL_Convertidos,TL_Intentados,TL_Porcentaje,Faltas_Personales,Plus_Minus
1,Gregorio Freda,20:45,0,0,0,0,2,0,5,-5
6,Pau Bas Sanjuan,23:06,0,0,0,0,0,0,1,-5
7,Carlos Aparicio Nieto,24:36,15,2,3,2,5,40,2,3
9,Federico Juanicotena,14:22,0,0,0,0,0,0,3,3
10,Jose Fernando Rodríguez Guerre,27:58,11,5,0,1,3,33,3,-5
11,Ricardo César Juanicotena,10:39,0,0,0,0,0,0,4,-10
27,Claudio Castellazzi,15:23,3,0,1,0,0,0,0,1
44,Dmytro Khomenko,24:17,20,6,1,5,7,71,1,-11
46,Sergei Kostromin,20:53,5,1,1,0,0,0,0,-9
66,Juan Ignacio Vieytes,18:01,0,0,0,0,0,0,1,-2
TOTAL,,200:00,54,14,6,8,17,47,20,-40
