PARTIDO,BSV vs LOS HALCONES,RESULTADO,59-70,FECHA,12/04/26-11:00h
Numero,Jugador,Minutos,Puntos,T2_Convertidos,T3_Convertidos,TL_Convertidos,TL_Intentados,TL_Porcentaje,Faltas_Personales,Plus_Minus
4,Raúl Mestre Lleida,26:39,2,1,0,0,0,0,2,-18
5,Francisco Jesús Puertollano García,14:07,0,0,0,0,2,0,2,-1
6,Pau Bas Sanjuan,14:21,4,2,0,0,0,0,3,-3
7,Carlos Aparicio Nieto,26:32,14,4,1,3,4,75,2,-1
9,Federico Juanicotena,21:32,2,1,0,0,0,0,3,-16
10,Jose Fernando Rodríguez Guerre,26:31,11,4,1,0,0,0,3,-12
15,Jose Vicente González Cabrera,17:38,4,1,0,2,7,29,1,-8
19,Pablo García Pedro,13:13,4,1,0,2,2,100,2,7
21,Hernán Martín D'Amelio Acuña,01:24,0,0,0,0,0,0,0,3
44,Dmytro Khomenko,19:06,13,4,1,2,4,50,0,-6
66,Juan Ignacio Vieytes,18:57,5,1,1,0,0,0,0,4
TOTAL,,200:00,59,19,4,9,19,47,18,-51
