#,Jugador,Minutos,Puntos,TL (A/I),%TL,T2,T3,Faltas,+/-
1,Gregorio Freda,00:00,0,0/0,0%,0,0,0,0
4,Raúl Mestre Lleida,14:25,0,0/0,0%,0,0,1,-6
5,Francisco Jesús Puertollano García,17:02,3,1/2,50%,1,0,2,-15
6,Pau Bas Sanjuan,00:00,0,0/0,0%,0,0,0,0
7,Carlos Aparicio Nieto,36:31,8,4/9,44%,2,0,2,-15
9,Federico Juanicotena,00:00,0,0/0,0%,0,0,0,0
10,Jose Fernando Rodriguez Guerra,00:00,0,0/0,0%,0,0,0,0
27,Claudio Castellazzi,31:57,7,0/0,0%,2,1,2,-1
31,Oleksandr Sukhovyi,34:23,3,0/0,0%,0,1,2,-11
44,Dmytro Khomenko,33:00,25,6/11,55%,5,3,2,-13
46,Sergei Kostromin,32:42,5,0/0,0%,1,1,4,-9
