PARTIDO,BSV vs PANATHIMANKOS,RESULTADO,54-51,FECHA,01/02/26-20:00h
Numero,Jugador,Minutos,Puntos,T2_Convertidos,T3_Convertidos,TL_Convertidos,TL_Intentados,TL_Porcentaje,Faltas_Personales,Plus_Minus
4,Raúl Mestre Lleida,23:03,0,0,0,0,0,0,2,-2
6,Pau Bas Sanjuan,14:48,2,0,0,2,2,100,0,-1
7,Carlos Aparicio Nieto,29:22,5,2,0,1,4,25,2,1
10,Jose Fernando Rodríguez Guerre,15:01,5,1,1,0,0,0,0,-6
11,Ricardo César Juanicotena,23:14,14,1,2,6,11,55,3,9
15,Jose Vicente González Cabrera,12:39,5,2,0,1,2,50,3,-3
19,Pablo García Pedro,11:41,2,1,0,0,0,0,2,7
21,Hernán Martín D'Amelio Acuña,13:42,3,0,1,0,0,0,1,4
24,Nicolas Arias,12:38,2,1,0,0,0,0,1,2
44,Dmytro Khomenko,17:41,13,4,1,2,2,100,1,2
46,Sergei Kostromin,04:55,0,0,0,0,0,0,0,-7
66,Juan Ignacio Vieytes,21:16,3,1,0,1,4,25,2,9
TOTAL,,200:00,54,13,5,13,25,52,17,15
