PARTIDO,BSV vs SAN PEDRO PASCUAL 'B',RESULTADO,61-40,FECHA,22/02/26-11:00h
Numero,Jugador,Minutos,Puntos,T2_Convertidos,T3_Convertidos,TL_Convertidos,TL_Intentados,TL_Porcentaje,Faltas_Personales,Plus_Minus
5,Francisco Jesús Puertollano García,16:14,7,1,1,2,4,50,0,21
7,Carlos Aparicio Nieto,22:00,11,4,1,0,1,0,1,25
9,Federico Juanicotena,19:17,3,0,1,0,0,0,2,1
10,Jose Fernando Rodríguez Guerre,17:02,5,2,0,1,2,50,0,-7
11,Ricardo César Juanicotena,18:00,4,2,0,0,1,0,0,-4
19,Pablo García Pedro,17:30,0,0,0,0,0,0,4,22
31,Oleksandr Sukhovyi,19:27,0,0,0,0,0,0,0,-4
44,Dmytro Khomenko,20:04,25,0,8,1,1,100,0,22
46,Sergei Kostromin,25:45,3,0,1,0,0,0,0,-4
66,Juan Ignacio Vieytes,24:41,3,0,0,3,6,50,2,33
TOTAL,,200:00,61,9,12,7,15,47,9,105
