Numero,Jugador,Minutos,Puntos,T2_Convertidos,T3_Convertidos,TL_Convertidos,TL_Intentados,TL_Porcentaje,Faltas_Personales,Plus_Minus
4,Raúl Mestre Lleida,28:22,11,4,0,3,4,75,3,-11
5,Francisco Jesús Puertollano García,10:19,0,0,0,0,0,0,2,-4
6,Pau Bas Sanjuan,29:41,1,0,0,1,4,25,1,-13
7,Carlos Aparicio Nieto,37:35,5,2,0,1,4,25,1,-9
9,Federico Juanicotena,13:02,3,0,1,0,0,0,2,-6
10,Jose Fernando Rodríguez Guerre,11:39,1,0,0,1,2,50,1,-3
11,Ricardo César Juanicotena,06:22,9,3,1,0,2,0,0,0
15,Jose Vicente González Cabrera,25:16,9,4,0,1,2,50,2,-5
21,Hernán Martín D'Amelio Acuña,15:12,0,0,0,0,0,0,2,-9
44,Dmytro Khomenko,22:32,11,5,0,1,1,100,1,-25
TOTAL,,200:00,50,18,2,8,19,42,15,-85
