PARTIDO,BSV vs SECUELAS PIAS,RESULTADO,45-55,FECHA,25/01/26-12:45h
Numero,Jugador,Minutos,Puntos,T2_Convertidos,T3_Convertidos,TL_Convertidos,TL_Intentados,TL_Porcentaje,Faltas_Personales,Plus_Minus
6,Pau Bas Sanjuan,27:40,5,2,0,1,2,50,3,-11
7,Carlos Aparicio Nieto,35:18,14,2,3,1,2,50,0,-9
10,Jose Fernando Rodríguez Guerre,29:22,4,1,0,2,6,33,0,-8
15,Jose Vicente González Cabrera,23:58,7,2,1,0,0,0,1,1
19,Pablo García Pedro,22:48,2,1,0,0,2,0,2,-5
21,Hernán Martín D'Amelio Acuña,11:38,0,0,0,0,0,0,2,3
31,Oleksandr Sukhovyi,11:54,0,0,0,0,0,0,1,0
44,Dmytro Khomenko,24:37,12,6,0,0,0,0,2,-9
46,Sergei Kostromin,12:45,1,0,0,1,2,50,1,-12
TOTAL,,200:00,45,14,4,5,14,36,12,-50
