PARTIDO,BSV vs STOP BASKET,RESULTADO,68-34,FECHA,08/03/26-11:30h
Numero,Jugador,Minutos,Puntos,T2_Convertidos,T3_Convertidos,TL_Convertidos,TL_Intentados,TL_Porcentaje,Faltas_Personales,Plus_Minus
7,Carlos Aparicio Nieto,17:52,15,4,1,4,7,57,1,17
9,Federico Juanicotena,27:00,0,0,0,0,0,0,1,25
10,Jose Fernando Rodríguez Guerre,19:58,8,4,0,0,0,0,3,21
11,Ricardo César Juanicotena,26:45,7,2,1,0,1,0,1,15
19,Pablo García Pedro,23:06,0,0,0,0,0,0,3,15
21,Hernán Martín D'Amelio Acuña,22:15,3,0,1,0,0,0,1,11
24,Nicolas Arias,17:56,12,1,3,1,2,50,1,30
44,Dmytro Khomenko,23:24,15,3,3,0,0,0,2,31
46,Sergei Kostromin,21:44,8,4,0,0,0,0,1,5
TOTAL,,200:00,68,18,9,5,10,50,14,170
