Numero,Jugador,Minutos,Puntos,T2_Convertidos,T3_Convertidos,TL_Convertidos,TL_Intentados,TL_Porcentaje,Faltas_Personales,Plus_Minus
4,Raúl Mestre Lleida,17:27,3,1,0,1,2,50,0,-8
6,Pau Bas Sanjuan,22:40,5,2,0,1,3,33,2,-10
7,Carlos Aparicio Nieto,26:58,13,1,3,2,2,100,3,-9
9,Federico Juanicotena,17:20,0,0,0,0,0,0,3,-11
10,Jose Fernando Rodríguez Guerre,24:54,6,3,0,0,0,0,3,-10
15,Jose Vicente González Cabrera,19:24,2,1,0,0,2,0,2,-9
19,Pablo García Pedro,14:04,3,0,1,0,0,0,1,-8
27,Claudio Castellazzi,18:15,3,0,1,0,0,0,1,-15
44,Dmytro Khomenko,29:39,7,1,1,2,4,50,1,-17
46,Sergei Kostromin,09:19,5,1,1,0,0,0,0,-8
TOTAL,,200:00,47,10,7,6,13,46,16,-105
