#,Jugador,Minutos,Puntos,TL (A/I),%TL,T2,T3,Faltas,+/-
1,Gregorio Freda,21:32,2,0/0,0%,1,0,2,14
4,Raul Mestre Lleida,25:15,10,0/0,0%,5,0,0,5
5,Francisco Jesús Puertollano García,15:01,2,0/0,0%,1,0,1,10
10,Jose Fernando Rodriguez Guerra,17:57,4,0/0,0%,2,0,2,0
11,Ricardo César Juanicotena,32:49,5,0/0,0%,1,1,1,6
15,Jose Vicente González Cabrera,14:02,3,0/0,0%,0,1,0,-4
19,Pablo Garcia Pedro,00:00,0,0/0,0%,0,0,0,0
24,Nicolas Arias,19:02,9,1/4,25%,4,0,1,15
27,Claudio Castellazzi,00:00,0,0/0,0%,0,0,0,0
44,Dmytro Khomenko,22:18,11,2/2,100%,0,3,2,1
46,Sergei Kostromin,12:49,0,0/0,0%,0,0,0,11
66,Juan Ignacio Vieytes,19:15,3,0/0,0%,0,1,4,12
