#,Jugador,Minutos,Puntos,TL (A/I),%TL,T2,T3,Faltas,+/-
1,Gregorio Freda,19:47,6,4/4,100%,1,0,5,-23
4,Raúl Mestre Lleida,19:52,6,0/0,0%,3,0,1,-12
6,Pau Bas Sanjuan,28:05,0,0/2,0%,0,0,2,-9
9,Federico Juanicotena,20:55,2,0/0,0%,1,0,1,-15
10,Jose Fernando Rodriguez Guerra,23:19,4,0/2,0%,2,0,3,-13
15,Jose Vicente González Cabrera,00:41,5,3/4,75%,1,0,1,-10
19,Pablo Garcia Pedro,11:06,0,0/0,0%,0,0,3,-16
24,Nicolas Arias,21:49,22,9/11,82%,2,3,1,-13
27,Claudio Castellazzi,01:38,0,0/0,0%,0,0,1,-15
44,Dmytro Khomenko,34:35,11,0/0,0%,4,1,1,-15
46,Sergei Kostromin,03:06,5,2/2,100%,0,1,0,-10
66,Juan Ignacio Vieytes,15:07,3,0/0,0%,0,1,0,-16
