#,Jugador,Minutos,Puntos,TL (A/I),%TL,T2,T3,Faltas,+/-
7,Carlos Aparicio Nieto,15:54,0,0/0,0%,0,0,0,3
9,Federico Juanicotena,12:25,4,0/1,0%,2,0,1,0
10,Jose Fernando Rodriguez Guerra,15:15,8,2/4,50%,3,0,4,-5
11,Ricardo César Juanicotena,27:44,13,4/5,80%,3,1,3,8
15,Jose Vicente González Cabrera,14:53,4,1/2,50%,0,1,3,7
19,Pablo Garcia Pedro,09:32,2,0/0,0%,1,0,3,-3
21,Hernán Martín D'Amelio Acuña,10:07,0,0/0,0%,0,0,2,-4
24,Nicolas Arias,22:11,14,6/6,100%,4,0,3,7
31,Oleksandr Sukhovyi,09:41,3,0/0,0%,0,1,3,10
44,Dmytro Khomenko,23:23,12,5/6,83%,2,1,4,21
46,Sergei Kostromin,19:10,0,0/0,0%,0,0,1,11
66,Juan Ignacio Vieytes,19:45,2,0/0,0%,1,0,3,-5
