#,Jugador,Minutos,Puntos,TL (A/I),%TL,T2,T3,Faltas,+/-
4,Raul Mestre Lleida,24:27,4,2/4,50%,1,0,0,1
5,Francisco Jesús Puertollano García,10:40,1,1/2,50%,0,0,3,-6
6,Pau Bas Sanjuan,18:58,6,2/2,100%,2,0,3,6
7,Carlos Aparicio Nieto,19:32,6,0/2,0%,3,0,1,0
10,Jose Fernando Rodriguez Guerra,17:39,4,0/2,0%,2,0,2,7
11,Ricardo César Juanicotena,19:20,14,3/4,75%,1,3,3,13
14,Gregorio Freda,13:02,2,2/4,50%,0,0,2,5
15,Jose Vicente González Cabrera,15:51,7,1/1,100%,3,0,3,2
21,Hernán Martín D'Amelio Acuña,15:21,2,0/0,0%,1,0,4,-1
24,Nicolas Arias,00:00,0,0/0,0%,0,0,0,0
27,Claudio Castellazzi,23:13,3,1/2,50%,1,0,2,5
44,Dmytro Khomenko,21:57,5,0/0,0%,1,1,0,3
