#,Jugador,Minutos,Puntos,TL (A/I),%TL,T2,T3,Faltas,+/-
1,Gregorio Freda,27:05,2,0/0,0%,1,0,5,14
6,Pau Bas Sanjuan,22:15,8,2/2,100%,3,0,2,2
9,Federico Juanicotena,13:31,2,0/0,0%,1,0,1,-6
10,Jose Fernando Rodriguez Guerra,13:55,5,1/1,100%,2,0,3,11
11,Ricardo César Juanicotena,20:24,1,1/4,25%,0,0,3,-7
21,Hernán Martín D'Amelio Acuña,17:28,4,0/0,0%,2,0,1,1
24,Nicolas Arias,17:02,9,1/2,50%,1,2,0,12
27,Claudio Castellazzi,19:27,5,0/0,0%,1,1,2,6
44,Dmytro Khomenko,18:49,23,4/8,50%,2,5,2,13
46,Sergei Kostromin,19:36,0,0/0,0%,0,0,0,-1
66,Juan Ignacio Vieytes,10:28,4,1/2,50%,0,1,5,10
